"","id","place","weight_lbs","grower_name","city","state_prov","country","gpc_site","seed_mother","pollinator_father","ott","est_weight","pct_chart","variety","weight_kg","weight_class"
"63","2697-P",69,1451.6519319322,"PFASG","Chicago","Texas","Canada","Local Pumpkin Festival","1214 Q","1113 T",390,1265,20,"Knucklehead",658.464996794065,"Heavy"
"66","2240-P",97,1458.85993616097,"YIMGA","Nottingham","New York","Australia","National Pumpkin Festival","1079 U","1528 A",406,1392,7,"Long Island Cheese",661.734526064124,"Heavy"
"70","2639-P",65,1444.63379826769,"DTUWF","Paris","California","Canada","Regional Pumpkin Festival","1962 A","1614 Z",391,1316,10,"Jarrahdale",655.28159224698,"Heavy"
"74","2999-P",48,1441.40762790553,"RPVZJ","Houston","Florida","Australia","National Pumpkin Festival","1138 U","1618 K",406,1429,2,"Knucklehead",653.818210970486,"Heavy"
"76","2489-P",31,1438.3973169066,"SAIBI","Chicago","New York","Australia","Local Pumpkin Festival","1529 X","1602 A",436,1692,-17,"Knucklehead",652.452742858841,"Heavy"
"77","2547-P",98,1429.87775554508,"NULXH","Paris","Florida","Australia","National Pumpkin Festival","1210 D","1125 K",398,1288,12,"Knucklehead",648.588295176032,"Heavy"
"78","2333-P",47,1418.27978956327,"JUVJO","New York","New York","Australia","Regional Pumpkin Festival","1474 W","1729 W",400,1373,9,"Long Island Cheese",643.327492317549,"Heavy"
"87","2677-P",15,1407.27534116153,"ACUMP","New York","Florida","UK","Local Pumpkin Festival","1505 B","1886 D",409,1412,-3,"Knucklehead",638.335907267317,"Heavy"
"89","2972-P",34,1397.71947651263,"FQGTB","Los Angeles","New York","Canada","National Pumpkin Festival","1755 W","1654 R",401,1351,8,"Long Island Cheese",634.001395496976,"Heavy"
"90","2769-P",84,1383.89520244487,"SWZCJ","Paris","Texas","UK","Local Pumpkin Festival","1814 M","1440 L",400,1395,1,"Long Island Cheese",627.730745915298,"Heavy"
"92","2897-P",25,1381.20036756154,"JTXTD","New York","New York","Australia","National Pumpkin Festival","1776 T","1741 R",386,1250,7,"Long Island Cheese",626.508376830963,"Heavy"
"96","2777-P",31,1392.0843707528,"ZIOEJ","Nottingham","California","UK","Local Pumpkin Festival","1052 Q","1071 J",388,1289,6,"Long Island Cheese",631.445328292115,"Heavy"
"97","2613-P",93,1388.18328749761,"FWOZU","Nottingham","Florida","Australia","National Pumpkin Festival","1990 P","1603 M",407,1450,0,"Long Island Cheese",629.675808535612,"Heavy"
"98","2813-P",33,1390.0592013916,"DNXWU","Chicago","New York","Canada","Regional Pumpkin Festival","1951 D","1834 Q",388,1268,14,"Lumina",630.526717495963,"Heavy"
"99","2530-P",40,1381.41400826536,"DBPTC","Los Angeles","Florida","Australia","Regional Pumpkin Festival","1329 Z","1870 K",410,1403,-1,"Long Island Cheese",626.605283618507,"Heavy"
"101","2672-P",28,1377.67446309049,"JNEKH","Los Angeles","Texas","Australia","Local Pumpkin Festival","1039 W","1299 P",388,1244,11,"Jarrahdale",624.909037054562,"Heavy"
"103","2577-P",65,1367.23292167298,"CKTOU","Paris","New York","UK","Local Pumpkin Festival","1944 D","1889 R",391,1251,13,"Lumina",620.172784937397,"Heavy"
"107","2729-P",19,1357.32577141747,"NTWDN","Chicago","Texas","Australia","Local Pumpkin Festival","1163 Q","1788 T",379,1143,15,"Knucklehead",615.678931061176,"Heavy"
"110","2824-P",83,1356.59562065545,"CZABH","Chicago","California","Australia","Regional Pumpkin Festival","1463 W","1359 T",392,1255,5,"Knucklehead",615.34773684816,"Heavy"
"111","2015-P",60,1348.12165983822,"SYLPP","New York","Florida","Canada","Local Pumpkin Festival","1222 K","1978 F",399,1299,9,"Jarrahdale",611.503973436552,"Heavy"
"114","2470-P",79,1340.27093996946,"IBNGQ","Paris","California","Australia","National Pumpkin Festival","1348 C","1916 N",387,1273,9,"Jarrahdale",607.942910264655,"Heavy"
"116","2527-P",18,1322.23026082665,"KHAOZ","New York","California","UK","National Pumpkin Festival","1271 G","1395 H",406,1389,0,"Knucklehead",599.759711887257,"Heavy"
"118","2855-P",89,1319.47293700557,"MCOJE","Nottingham","New York","UK","Local Pumpkin Festival","1767 F","1432 N",381,1217,9,"Jarrahdale",598.5089980067,"Heavy"
"120","2899-P",27,1326.66102363914,"OXSJG","Chicago","Florida","Australia","Local Pumpkin Festival","1414 Y","1034 P",390,1265,5,"Jarrahdale",601.769492714843,"Heavy"
"121","2634-P",59,1317.34299440589,"LHWNZ","Houston","Texas","Australia","Local Pumpkin Festival","1638 N","1402 E",403,1380,-6,"Long Island Cheese",597.542862381334,"Heavy"
"122","2540-P",8,1310.82466440182,"PBSMB","Houston","Texas","Australia","Local Pumpkin Festival","1053 P","1441 G",396,1283,8,"Lumina",594.586167287409,"Heavy"
"126","2823-P",65,1325.37429386098,"OJARQ","Chicago","Texas","Australia","National Pumpkin Festival","1676 X","1143 V",383,1226,7,"Knucklehead",601.185835916257,"Heavy"
"129","2539-P",10,1322.04402094893,"ARIYT","Houston","Texas","UK","Regional Pumpkin Festival","1555 W","1695 H",374,1171,9,"Lumina",599.6752340329,"Heavy"
"130","2184-P",53,1311.36550288927,"WZTMM","Paris","California","Australia","National Pumpkin Festival","1249 N","1655 M",393,1268,0,"Lumina",594.831490015997,"Heavy"
"131","2602-P",24,1320.6269270638,"JAIGW","New York","Texas","UK","Local Pumpkin Festival","1685 N","1971 L",378,1143,10,"Long Island Cheese",599.032444463304,"Heavy"
"132","2625-P",24,1303.48956168815,"PVZNO","Los Angeles","California","UK","Local Pumpkin Festival","1166 Z","1240 P",383,1229,2,"Long Island Cheese",591.258986522795,"Heavy"
"134","2138-P",19,1313.98944539856,"ZUPDN","New York","New York","Australia","Regional Pumpkin Festival","1815 Q","1734 X",402,1347,-3,"Jarrahdale",596.021702530419,"Heavy"
"137","2014-P",8,1301.28870684411,"BGJGW","Chicago","Florida","Canada","Local Pumpkin Festival","1983 T","1987 S",378,1173,14,"Jarrahdale",590.260685314394,"Heavy"
"142","2518-P",64,1296.03502489533,"NTWMJ","Nottingham","Florida","Canada","Local Pumpkin Festival","1624 A","1926 U",382,1244,7,"Knucklehead",587.877630815265,"Heavy"
"143","2144-P",4,1285.79272633605,"SFKJH","Los Angeles","Florida","Australia","National Pumpkin Festival","1887 Y","1200 I",384,1242,10,"Long Island Cheese",583.23175466572,"Heavy"
"146","2763-P",61,1296.02379905526,"BERGX","Chicago","Florida","Australia","National Pumpkin Festival","1663 L","1543 N",376,1195,7,"Jarrahdale",587.87253880761,"Heavy"
"148","2887-P",75,1279.43656427879,"KQWVF","Paris","New York","UK","Regional Pumpkin Festival","1936 A","1265 W",395,1330,2,"Jarrahdale",580.348618469921,"Heavy"
"152","2865-P",71,1270.5384094594,"GZFFM","Nottingham","California","UK","National Pumpkin Festival","1796 Z","1223 Y",390,1297,-2,"Long Island Cheese",576.312441921167,"Heavy"
"153","2817-P",10,1269.01874833368,"ZAABG","Chicago","Florida","Australia","Regional Pumpkin Festival","1646 B","1073 U",384,1237,4,"Long Island Cheese",575.623128156435,"Heavy"
"155","2812-P",98,1279.02252539806,"WFNMT","Los Angeles","Florida","UK","Regional Pumpkin Festival","1451 Z","1156 J",380,1159,11,"Lumina",580.160811665636,"Heavy"
"160","2363-P",99,1271.61112487596,"TSJSZ","Nottingham","Florida","Canada","Local Pumpkin Festival","1277 F","1452 I",2,-4,0,"Knucklehead",576.799022442146,"Heavy"
"162","2192-P",36,1255.70134972222,"SWHAS","Nottingham","California","Australia","Local Pumpkin Festival","1761 W","1978 H",372,1154,11,"Jarrahdale",569.582395773483,"Heavy"
"163","2293-P",71,1262.55111689307,"TGLYB","Paris","Florida","Canada","Regional Pumpkin Festival","1039 Q","1840 K",372,1145,11,"Long Island Cheese",572.689429780036,"Heavy"
"164","2293-P",85,1262.32492043637,"AXIEL","Paris","Florida","UK","Local Pumpkin Festival","1333 D","1118 L",393,1268,-5,"Knucklehead",572.586827740346,"Heavy"
"166","2956-P",39,1257.47629335988,"SOXVR","New York","Florida","UK","Regional Pumpkin Festival","1440 Z","1252 R",399,1325,-5,"Jarrahdale",570.387504926011,"Heavy"
"167","2555-P",51,1256.69884713087,"CDPFY","Houston","Texas","Canada","Local Pumpkin Festival","1366 C","1303 W",380,1199,3,"Knucklehead",570.034857629898,"Heavy"
"169","2032-P",74,1255.01520404778,"SAUZV","New York","California","UK","National Pumpkin Festival","1949 U","1203 P",371,1142,7,"Knucklehead",569.271162137251,"Heavy"
"170","2856-P",75,1255.33954979945,"OZPDA","Chicago","Florida","UK","Local Pumpkin Festival","1196 F","1852 A",380,1214,3,"Jarrahdale",569.418284405085,"Heavy"
"171","2985-P",69,1256.46832784507,"IWIYX","Paris","New York","Canada","National Pumpkin Festival","1483 V","1550 Y",395,1331,-10,"Long Island Cheese",569.930294767792,"Heavy"
"172","2564-P",76,1243.52909128182,"RFRAR","Paris","California","Canada","Local Pumpkin Festival","1008 E","1120 E",373,1092,17,"Jarrahdale",564.061095564645,"Heavy"
"173","2438-P",12,1240.53637294844,"CBAJB","Chicago","New York","Canada","Regional Pumpkin Festival","1079 H","1801 T",390,1240,-5,"Knucklehead",562.703607433747,"Heavy"
"174","2012-P",49,1243.14262262639,"NPISH","Chicago","California","Australia","Regional Pumpkin Festival","1722 G","1573 K",381,1198,8,"Lumina",563.885794532517,"Heavy"
"177","2109-P",8,1226.57023760956,"BVMVM","Nottingham","Florida","Canada","Regional Pumpkin Festival","1195 V","1911 V",409,1404,-9,"Long Island Cheese",556.368610001614,"Heavy"
"178","2013-P",88,1236.6433200337,"ZDZLW","Houston","New York","Canada","Regional Pumpkin Festival","1672 G","1986 R",394,1270,2,"Long Island Cheese",560.937730215776,"Heavy"
"179","2255-P",65,1237.29364461731,"TCKST","New York","Florida","Canada","National Pumpkin Festival","1579 N","1536 T",395,1347,-6,"Long Island Cheese",561.232715511799,"Heavy"
"180","2596-P",52,1230.9590575546,"QRNOZ","Paris","Texas","Australia","National Pumpkin Festival","1911 W","1033 V",407,1373,-14,"Long Island Cheese",558.359365669329,"Heavy"
"183","2299-P",96,1217.1101529384,"OMKJS","Houston","California","UK","National Pumpkin Festival","1439 H","1776 P",378,1186,7,"Long Island Cheese",552.077543744173,"Heavy"
"185","2883-P",69,1227.54266566411,"CCKKK","Houston","Florida","Australia","National Pumpkin Festival","1216 I","1000 U",383,1211,-1,"Knucklehead",556.809700473604,"Heavy"
"186","2674-P",51,1219.84520541951,"KMYKC","Houston","California","Canada","Regional Pumpkin Festival","1364 C","1475 I",380,1181,2,"Jarrahdale",553.318155411191,"Heavy"
"187","2953-P",44,1216.4408811016,"YQTXJ","Los Angeles","Texas","UK","Local Pumpkin Festival","1175 Y","1518 Q",392,1308,-8,"Lumina",551.773964030482,"Heavy"
"188","2274-P",50,1218.8608306637,"RJLAV","Nottingham","Florida","Australia","National Pumpkin Festival","1656 Z","1220 K",373,1103,12,"Jarrahdale",552.871645951058,"Heavy"
"190","2204-P",55,1218.813196145,"OUSZU","Houston","Florida","Canada","Regional Pumpkin Festival","1286 X","1685 F",375,1111,12,"Jarrahdale",552.850039075115,"Heavy"
"191","2488-P",43,1207.37863692567,"GLEAD","Los Angeles","New York","Australia","Regional Pumpkin Festival","1351 C","1768 Z",399,1324,-4,"Long Island Cheese",547.663357037861,"Heavy"
"194","2169-P",8,1219.33421936166,"DEZOW","Nottingham","California","Australia","National Pumpkin Festival","1735 R","1200 H",379,1217,-4,"Knucklehead",553.086373655836,"Heavy"
"195","2007-P",21,1209.24118015543,"ORBPE","New York","California","UK","Regional Pumpkin Festival","1308 O","1618 H",364,1095,8,"Lumina",548.508201104702,"Heavy"
"196","2769-P",53,1218.49863145128,"MDBJP","Chicago","Florida","Canada","National Pumpkin Festival","1788 N","1116 N",369,1089,11,"Jarrahdale",552.707353466061,"Heavy"
"198","2712-P",64,1214.37516385224,"PGUBT","Nottingham","Texas","UK","National Pumpkin Festival","1976 L","1835 X",370,1139,2,"Jarrahdale",550.836960832912,"Heavy"
"199","2885-P",89,1203.00259863492,"MWNPX","Los Angeles","Texas","Australia","Local Pumpkin Festival","1407 U","1275 W",376,1137,5,"Knucklehead",545.678399090502,"Heavy"
"202","2955-P",2,1205.88831935264,"OSQNW","Houston","Florida","Canada","Local Pumpkin Festival","1434 L","1423 T",382,1249,-8,"Knucklehead",546.98735342132,"Heavy"
"203","2560-P",34,1205.92809373699,"HWGUQ","Houston","Texas","Canada","Regional Pumpkin Festival","1360 E","1091 N",404,1366,-7,"Lumina",547.005394963708,"Heavy"
"205","2803-P",36,1207.86637225561,"NSRSF","Nottingham","California","Canada","Regional Pumpkin Festival","1502 N","1281 I",395,1306,-11,"Lumina",547.884592332218,"Heavy"
"208","2116-P",92,1200.98449151032,"ZYOLW","Paris","New York","Canada","Local Pumpkin Festival","1904 G","1288 Y",368,1102,3,"Lumina",544.762991703854,"Heavy"
"211","2515-P",31,1195.7185192965,"SMMYC","Houston","California","Canada","Regional Pumpkin Festival","1567 Q","1220 O",389,1284,-12,"Lumina",542.374362377074,"Heavy"
"212","2246-P",81,1192.41280534584,"YQYEF","Houston","California","Canada","Regional Pumpkin Festival","1645 V","1799 X",400,1399,-16,"Knucklehead",540.874900365527,"Heavy"
"213","2257-P",42,1188.56861134805,"AFKMN","Los Angeles","Texas","Canada","Regional Pumpkin Festival","1235 Z","1926 B",388,1300,-12,"Lumina",539.131185406898,"Heavy"
"214","2867-P",99,1185.88974529877,"RCNFZ","Chicago","Texas","UK","Regional Pumpkin Festival","1912 D","1547 X",408,1388,-9,"Jarrahdale",537.916059738171,"Heavy"
"216","2855-P",88,1190.74273246527,"JGNKA","Houston","New York","Canada","Regional Pumpkin Festival","1141 D","1858 E",389,1283,-2,"Lumina",540.117360276362,"Heavy"
"219","2601-P",63,1185.16202674434,"ZYGSV","New York","Florida","Canada","National Pumpkin Festival","1163 Z","1292 N",393,1250,-3,"Jarrahdale",537.585968767276,"Heavy"
"220","2890-P",38,1176.0475314064,"OTCVW","Paris","Florida","Canada","National Pumpkin Festival","1736 G","1295 S",381,1214,1,"Knucklehead",533.451660803046,"Heavy"
"221","2972-P",92,1185.33046823088,"MSCDK","Nottingham","New York","Canada","Regional Pumpkin Festival","1242 N","1510 Q",369,1104,3,"Knucklehead",537.662373324358,"Heavy"
"223","2748-P",80,1184.32385700569,"GJMYL","New York","Florida","Canada","Regional Pumpkin Festival","1811 C","1238 X",389,1237,-5,"Long Island Cheese",537.205777467879,"Heavy"
"227","2069-P",22,1164.16593560018,"XYUYX","Paris","Texas","Canada","Regional Pumpkin Festival","1539 J","1817 Z",367,1084,13,"Knucklehead",528.06220430018,"Heavy"
"229","2834-P",73,1164.07308913395,"GAUQJ","Los Angeles","Florida","UK","Local Pumpkin Festival","1565 Q","1651 Z",374,1121,7,"Long Island Cheese",528.020089419372,"Heavy"
"230","2673-P",93,1175.86541738547,"THSUP","Houston","New York","UK","Regional Pumpkin Festival","1010 N","1485 O",407,1371,-20,"Jarrahdale",533.369054425054,"Heavy"
"235","2812-P",45,1167.99107775651,"PNCEV","Houston","Florida","Canada","Regional Pumpkin Festival","1969 R","1013 P",377,1159,-1,"Jarrahdale",529.797277400213,"Heavy"
"236","2049-P",2,1163.1701743314,"RXLSU","New York","Texas","Canada","Local Pumpkin Festival","1509 T","1391 U",376,1115,5,"Jarrahdale",527.610529951648,"Heavy"
"241","2188-P",28,1136.76862229966,"SNZAT","Nottingham","Texas","Australia","Local Pumpkin Festival","1075 C","1747 H",390,1275,-13,"Lumina",515.634864510413,"Heavy"
"245","2103-P",59,1145.7295012353,"DGFXA","Houston","New York","Australia","National Pumpkin Festival","1880 P","1445 K",360,998,11,"Knucklehead",519.699492531661,"Heavy"
"247","2007-P",29,1139.90973509941,"JOWWT","New York","New York","UK","Regional Pumpkin Festival","1488 H","1960 O",384,1235,-5,"Lumina",517.059663929698,"Heavy"
"249","2271-P",11,1138.83689595759,"NJPQS","Chicago","Texas","UK","National Pumpkin Festival","1732 E","1639 X",382,1179,-2,"Lumina",516.573027287303,"Heavy"
"250","2342-P",22,1137.81319176499,"KDFAC","Chicago","New York","Canada","Local Pumpkin Festival","1282 U","1967 U",371,1087,2,"Long Island Cheese",516.10867811167,"Heavy"
"252","2517-P",87,1121.40250977501,"GVNGC","Los Angeles","California","Australia","Local Pumpkin Festival","1441 O","1829 F",375,1174,-6,"Jarrahdale",508.664841592585,"Heavy"
"255","2725-P",17,1134.54168767761,"UBQIS","Los Angeles","Florida","Canada","National Pumpkin Festival","1978 W","1033 Y",374,1119,1,"Long Island Cheese",514.624733592314,"Heavy"
"256","2137-P",12,1127.22833399661,"CIYQX","Paris","Texas","Canada","Local Pumpkin Festival","1306 G","1735 M",393,1273,-16,"Lumina",511.307418124199,"Heavy"
"262","2653-P",11,1115.74603392463,"FVVKJ","Nottingham","Florida","UK","National Pumpkin Festival","1896 S","1810 P",366,1069,3,"Knucklehead",506.099080978242,"Heavy"
"263","2680-P",55,1106.61445064899,"CYGOD","Paris","California","Canada","National Pumpkin Festival","1007 O","1305 Q",380,1150,2,"Lumina",501.957021976316,"Heavy"
"264","2976-P",99,1108.44725987874,"STCFB","Houston","Texas","Canada","Local Pumpkin Festival","1347 X","1255 N",369,1051,7,"Jarrahdale",502.788378789231,"Heavy"
"270","2260-P",74,1099.68760279752,"COJPA","Paris","New York","UK","Regional Pumpkin Festival","1001 D","1965 E",364,1053,7,"Lumina",498.815024402396,"Heavy"
"272","2242-P",34,1113.86934495624,"CHXAB","Los Angeles","Florida","Canada","Regional Pumpkin Festival","1223 F","1630 K",379,1191,-10,"Jarrahdale",505.247820446449,"Heavy"
"274","2709-P",68,1098.07167999931,"DJCQR","Nottingham","New York","UK","Regional Pumpkin Festival","1890 K","1023 Z",368,1082,5,"Long Island Cheese",498.08204662946,"Heavy"
"277","2176-P",61,1107.98562079947,"LXHGR","Nottingham","Texas","UK","Regional Pumpkin Festival","1859 N","1894 L",354,1007,7,"Knucklehead",502.578980676528,"Heavy"
"284","2653-P",78,1091.13573969994,"ZHXEH","Houston","Florida","Australia","Local Pumpkin Festival","1788 G","1028 A",354,976,9,"Lumina",494.935924748225,"Heavy"
"291","2873-P",65,1085.32361724321,"ADOPF","Los Angeles","Florida","Canada","National Pumpkin Festival","1984 Q","1067 Z",381,1207,-13,"Jarrahdale",492.299563296384,"Heavy"
"297","2191-P",5,1085.96465738304,"YJZQF","Nottingham","Florida","Australia","Regional Pumpkin Festival","1888 N","1066 U",348,936,17,"Jarrahdale",492.590337196335,"Heavy"
"298","2762-P",40,1066.2621848369,"BBFXA","Los Angeles","New York","Canada","National Pumpkin Festival","1289 B","1575 E",362,1016,1,"Jarrahdale",483.653354276015,"Heavy"
"300","2456-P",1,1072.58700289857,"LOPGB","New York","Florida","UK","Local Pumpkin Festival","1586 X","1422 L",351,941,11,"Lumina",486.522272928679,"Heavy"
"302","2494-P",88,1069.894521649,"JRQKR","New York","California","Australia","Local Pumpkin Festival","1134 B","1383 Y",365,1072,-5,"Knucklehead",485.300971445612,"Heavy"
"310","2757-P",3,1074.8258980969,"RLMXO","Paris","Florida","UK","National Pumpkin Festival","1143 S","1408 G",356,981,4,"Long Island Cheese",487.537829128593,"Heavy"
"312","2400-P",62,1058.6465422539,"NTZYT","Houston","Texas","Australia","National Pumpkin Festival","1549 P","1403 G",382,1175,-15,"Jarrahdale",480.198921461446,"Heavy"
"313","2193-P",13,1072.79067982174,"YXAYF","Chicago","Florida","UK","Regional Pumpkin Festival","1118 R","1699 E",362,999,11,"Lumina",486.614660174973,"Heavy"
"317","2242-P",27,1050.06890783347,"RGHUO","Nottingham","New York","UK","Local Pumpkin Festival","1291 Q","1240 M",346,925,15,"Knucklehead",476.308132011917,"Heavy"
"318","2189-P",96,1063.12417716999,"MQRWR","Paris","Florida","Canada","Regional Pumpkin Festival","1633 X","1650 M",351,932,13,"Long Island Cheese",482.229963335746,"Heavy"
"319","2297-P",77,1048.54555253778,"HJNGN","Houston","Florida","Canada","National Pumpkin Festival","1272 T","1001 L",372,1080,1,"Lumina",475.61714258268,"Heavy"
"320","2448-P",46,1047.56801912095,"XLOGV","New York","Florida","Canada","Regional Pumpkin Festival","1273 L","1647 B",366,1115,-3,"Lumina",475.173736333554,"Heavy"
"322","2296-P",56,1054.6351646753,"QSOSV","New York","New York","Australia","Regional Pumpkin Festival","1877 I","1731 P",357,964,14,"Jarrahdale",478.379372528034,"Heavy"
"324","2562-P",65,1055.11605854146,"TSRWO","Los Angeles","California","Canada","Local Pumpkin Festival","1142 X","1842 S",357,979,12,"Long Island Cheese",478.597504554777,"Heavy"
"325","2616-P",41,1053.2495443942,"LYTEI","Chicago","Florida","Canada","Regional Pumpkin Festival","1639 O","1305 Z",378,1122,-4,"Lumina",477.750859291573,"Heavy"
"329","2338-P",88,1042.80859113298,"PHDWP","Los Angeles","Florida","UK","Regional Pumpkin Festival","1008 Y","1465 H",359,1019,-1,"Long Island Cheese",473.014873960348,"Heavy"
"332","2365-P",15,1042.92896725982,"XSLGJ","Nottingham","New York","Canada","National Pumpkin Festival","1645 Y","1312 D",368,1093,-4,"Jarrahdale",473.069476213292,"Heavy"
"334","2895-P",42,1036.62335248478,"UYMLI","Nottingham","New York","Canada","National Pumpkin Festival","1462 L","1455 I",353,984,7,"Knucklehead",470.209268114296,"Heavy"
"335","2412-P",26,1047.29773588385,"HGGDZ","Chicago","California","Canada","Regional Pumpkin Festival","1229 B","1941 P",356,960,11,"Lumina",475.05113666146,"Heavy"
"336","2857-P",1,1044.86291621719,"TMKPP","New York","California","UK","Regional Pumpkin Festival","1411 L","1287 X",340,901,14,"Long Island Cheese",473.9467097057,"Heavy"
"338","2957-P",71,1030.32283974998,"QGGOI","Chicago","Texas","UK","Local Pumpkin Festival","1137 M","1726 E",374,1145,-9,"Lumina",467.351374285574,"Heavy"
"340","2628-P",95,1036.47212112136,"KHJNL","New York","California","Australia","National Pumpkin Festival","1662 P","1103 N",352,985,6,"Jarrahdale",470.140670017854,"Heavy"
"346","2750-P",58,1020.28450666275,"WFYWS","Nottingham","Florida","Australia","Local Pumpkin Festival","1467 H","1768 P",348,943,13,"Jarrahdale",462.798016267236,"Heavy"
"347","2124-P",4,1035.05195989087,"STMPN","Chicago","California","Canada","National Pumpkin Festival","1866 E","1382 N",375,1116,-8,"Jarrahdale",469.496489109531,"Heavy"
"349","2612-P",57,1023.38636097964,"QHVPE","Nottingham","Florida","Australia","Local Pumpkin Festival","1340 W","1950 F",351,978,7,"Lumina",464.205008155511,"Heavy"
"350","2004-P",65,1021.97699399944,"AWNUV","Chicago","Florida","Australia","Local Pumpkin Festival","1865 S","1548 X",353,997,0,"Knucklehead",463.565723487002,"Heavy"
"352","2816-P",33,1029.366273297,"XXICV","Los Angeles","California","UK","National Pumpkin Festival","1028 D","1160 L",365,1066,-6,"Jarrahdale",466.917478588858,"Heavy"
